,HumanGene,MouseGene,correlation
446,EIF4H,Eif4h,0.9284383449
447,CSE1L,Cse1l,0.7995806953
448,SUMO3,Sumo3,0.7636877438
449,UQCR11,Uqcr11,0.7190979991
450,ELAVL1,Elavl1,0.8562720022
451,PDAP1,Pdap1,0.8284603176
452,KHSRP,Khsrp,0.9104127975
453,RPL36AL,Rpl36al,0.8214827249
454,COX4I1,Cox4i1,0.9349170345
455,MCM6,Mcm6,0.8555406408
456,SNRPB,Snrpb,0.9773859947
457,RAN,Ran,0.9388645285
458,HNRNPD,Hnrnpd,0.9773275235
459,ACO2,Aco2,0.6187412304
460,PSMC1,Psmc1,0.7889664395
461,KLHDC3,Klhdc3,0.8379259306
462,MRPL34,Mrpl34,0.7129192886
463,LRRC59,Lrrc59,0.6902966858
464,CKS2,Cks2,0.7403304133
465,DDX39A,Ddx39,0.7495696392
466,PSMD8,Psmd8,0.8334352165
467,UBL5,Ubl5,0.7854874101
468,PPM1G,Ppm1g,0.9091515896
469,MAZ,Maz,0.8642814846
470,PTGES3,Ptges3,0.683599805
471,SSRP1,Ssrp1,0.9598430279
472,PA2G4,Pa2g4,0.7592075434
473,COX6A1,Cox6a1,0.9535800529
474,RBBP4,Rbbp4,0.8954604173
475,YWHAE,Ywhae,0.8295620759
476,PTP4A2,Ptp4a2,0.8860994695
477,RANBP1,Ranbp1,0.843142687
478,SRSF3,Srsf3,0.8840892571
479,RPS26,Rps26,0.9235412092
480,RPS16,Rps16,0.8763293661
481,CDT1,Cdt1,0.7039006172
482,CSNK1A1,Csnk1a1,0.8352032645
483,CKS1B,Cks1b,0.8401240212
484,SMARCA5,Smarca5,0.9622336286
485,C11orf58,1110004F10Rik,0.8726428694
486,CBX5,Cbx5,0.9319771034
487,SPCS2,Spcs2,0.9009272896
488,PSMB1,Psmb1,0.889816215
489,YWHAQ,Ywhaq,0.8117649524
490,PRPS1,Prps1,0.3846184795
491,EDF1,Edf1,0.7845816682
492,EIF4G1,Eif4g1,0.7730472815
493,MCM5,Mcm5,0.9380562633
494,DTYMK,Dtymk,0.8120208999
495,CYB5A,Cyb5a,0.5495535134
496,CYC1,Cyc1,0.9246805881
497,TCEA1,Tcea1,0.8437744848
498,LMNA,Lmna,0.7672084607
499,COX8A,Cox8a,0.9043752948
