,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,Group12,Group13,Group14,Group15,statisticsValue,P-value,Adj P-value
3116,SSR2,-0.20816,-0.07716,-0.13906,-0.17197,-0.12437,-0.23248,-0.40185,-0.3882,0.01295,-0.09892,0.1346,-0.06633,-0.11084,-0.18524,-0.08333,299.00621,1.9e-55,1.29e-51
3117,SSR3,-0.35467,-0.29011,-0.2601,-0.12075,-0.13942,-0.19152,-0.40265,-0.41309,0.08481,-0.07483,0.28669,0.08803,-0.24431,-0.27367,0.00653,523.59558,9.19e-103,6.53e-99
3118,SSR4,-0.3205,-0.24093,-0.23047,-0.18017,-0.24681,-0.246,-0.3885,-0.37727,-0.07102,0.03032,0.41913,0.0326,-0.16933,-0.21808,-0.03198,639.23302,2.35e-127,1.69e-123
3119,SSRP1,-0.39678,-0.30585,-0.20557,-0.24678,-0.16946,0.0445,-0.16315,-0.45056,-0.22138,-0.12717,-0.27688,-0.18782,-0.1353,-0.23846,-0.13038,396.59082,6.63e-76,4.6e-72
3120,SSSCA1,-0.06382,-0.07864,-0.07901,-0.07454,-0.08771,-0.08022,-0.05217,0.00866,-0.06317,-0.10557,-0.10976,-0.11946,-0.08906,-0.06562,-0.07978,61.71937,5.85e-08,0.000264
3121,SSU72,-0.22057,-0.21298,-0.2027,-0.1834,-0.15535,-0.14882,-0.21937,-0.21364,-0.19393,-0.12702,-0.04433,0.03854,-0.20306,-0.20571,-0.18878,65.54599,1.22e-08,5.73e-05
3122,ST13,0.02422,0.03597,-0.1042,-0.08901,-0.0699,0.01875,-0.58672,-0.44258,-0.22077,-0.17209,-0.33072,-0.27199,-0.13634,-0.12356,-0.22388,432.16577,2.08e-83,1.46e-79
3123,ST6GAL2,-0.09878,-0.08711,-0.14432,0.5891,0.08973,-0.10993,-0.1951,-0.19291,-0.12574,-0.13459,-0.17913,-0.16692,-0.12009,-0.14277,-0.14185,87.46279,1.14e-12,6.1e-09
3124,ST6GALNAC4,-0.19894,-0.19753,-0.20745,-0.18111,-0.18097,-0.11173,0.10633,-0.00479,-0.1845,-0.20198,-0.17753,-0.18826,-0.19488,-0.18343,-0.1373,78.80821,4.7e-11,2.42e-07
3125,ST8SIA1,-0.09076,-0.06918,-0.10052,-0.11528,-0.11528,-0.0568,-0.02485,-0.02839,-0.07518,-0.11528,-0.09646,-0.10066,-0.11374,-0.10734,-0.11528,75.72357,1.74e-10,8.8e-07
3126,STARD3,-0.07579,-0.08164,-0.07675,-0.09238,-0.10722,-0.09822,-0.02728,0.02958,-0.08674,-0.09619,-0.08222,-0.08645,-0.07258,-0.06588,-0.07006,56.74145,4.34e-07,0.00186
3127,STARD7,-0.30091,-0.23577,-0.17795,-0.1515,-0.16471,-0.07167,-0.32585,-0.3394,-0.1754,-0.08837,-0.1201,-0.09212,-0.17085,-0.23829,-0.21845,172.26346,2.39e-29,1.5e-25
3128,STAT5A,-0.2118,-0.09576,-0.17369,0.16338,0.1418,-0.04959,-0.46683,-0.43111,-0.21879,-0.16207,-0.18698,-0.17806,-0.29729,-0.3601,-0.41061,297.60911,3.72e-55,2.52e-51
3129,STAT6,-0.18142,-0.21169,-0.18595,-0.20134,-0.19115,-0.1595,-0.21433,-0.19436,-0.18738,-0.10472,-0.10978,0.14345,-0.13905,-0.15925,-0.15154,66.61542,7.86e-09,3.72e-05
3130,STAU1,-0.19471,-0.16328,-0.15861,-0.12699,-0.0977,-0.03992,-0.09573,-0.0185,-0.17831,-0.1703,-0.15277,-0.15605,-0.18573,-0.17708,-0.17113,63.53902,2.78e-08,0.000128
