,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,Group12,Group13,Group14,Group15,statisticsValue,P-value,Adj P-value
1614,LA16c.431H6.6,-0.043,-0.08896,-0.06419,-0.07058,-0.05676,-0.07543,-0.03345,0.10304,-0.05516,-0.06413,-0.05093,-0.02941,-0.07411,-0.03587,-0.0651,66.85257,7.13e-09,3.38e-05
1615,LACTB,-0.00559,-0.02104,-0.06579,-0.0822,-0.07292,-0.09932,-0.02455,-0.01273,-0.0745,-0.08877,-0.06544,-0.03968,-0.06456,-0.03996,-0.06279,69.7745,2.12e-09,1.03e-05
1616,LAGE3,-0.33851,-0.31007,-0.21045,-0.12552,-0.17936,-0.0217,-0.31586,-0.38265,-0.2351,-0.16536,-0.14382,-0.20525,-0.19758,-0.3161,-0.27109,230.4492,3.12e-41,2.04e-37
1617,LAIR1,-0.19857,-0.2035,-0.19815,-0.31682,-0.28156,-0.33719,-0.32714,-0.28253,0.0606,-0.00812,0.29305,0.23569,-0.01803,0.32066,0.06288,701.43922,1.27e-140,9.17e-137
1618,LAMP1,-0.27707,-0.22993,-0.20236,-0.17995,-0.17348,-0.11757,-0.27574,-0.37372,-0.13699,-0.1253,-0.00353,-0.04841,-0.27253,-0.3087,-0.17573,169.27188,9.61e-29,6.02e-25
1619,LAMP2,-0.19522,-0.21362,-0.10289,-0.225,-0.22696,-0.21135,-0.34061,-0.33833,-0.24802,-0.08165,0.12121,0.03806,-0.10013,-0.22642,-0.1631,233.68176,6.72e-42,4.41e-38
1620,LAMTOR1,-0.18376,-0.16544,-0.11728,0.22858,0.14026,-0.09784,-0.44448,-0.4564,-0.17273,-0.10715,-0.14886,-0.07434,-0.192,-0.3527,-0.20199,253.84135,4.61e-46,3.06e-42
1621,LAMTOR2,-0.2413,-0.22237,-0.24046,-0.19252,-0.18784,-0.12472,-0.19869,-0.19519,-0.19927,-0.15438,-0.00714,-0.05795,-0.22803,-0.24127,-0.17337,85.82729,2.32e-12,1.23e-08
1622,LAMTOR5,-0.21104,-0.16596,-0.14345,-0.15053,-0.0724,-0.06424,-0.32638,-0.22574,-0.17016,-0.11369,-0.1453,-0.13034,-0.1786,-0.16664,-0.15099,61.06229,7.63e-08,0.000343
1623,LANCL2,-0.02699,-0.07696,-0.07765,-0.09878,-0.08454,-0.09021,0.03504,0.03574,-0.06556,-0.08767,-0.11088,-0.10992,-0.05756,-0.05009,-0.08812,102.06306,1.91e-15,1.08e-11
1624,LAPTM4A,-0.1436,-0.10212,-0.11033,-0.16879,-0.05642,-0.18373,-0.3106,-0.3302,0.02221,-0.14098,-0.11865,-0.04889,-0.14472,-0.20909,-0.11442,97.79239,1.25e-14,6.98e-11
1625,LAPTM4B,0.39876,0.56383,0.2144,1.07009,0.34224,-0.2653,-0.34957,-0.34993,-0.1873,-0.04998,-0.27817,-0.30109,0.00015,-0.30289,-0.27102,754.87785,4.91e-152,3.55e-148
1626,LAPTM5,-0.04717,-0.0459,-0.03251,-0.21469,-0.03796,-0.31344,-0.5467,-0.52946,0.38204,-0.13029,0.50195,0.21408,-0.09418,0.03537,-0.03932,1149.46737,1.26e-236,9.26e-233
1627,LARP1,-0.33062,-0.32619,-0.23323,-0.18418,-0.10707,-0.06312,-0.08376,-0.25036,-0.2301,-0.08244,-0.14525,-0.1207,-0.22793,-0.21047,-0.30014,111.32343,3.1e-17,1.79e-13
1628,LARP4B,-0.22219,-0.2186,-0.20782,-0.15211,-0.18763,-0.11039,-0.15221,-0.19006,-0.19487,-0.10978,-0.04112,-0.06208,-0.19255,-0.20197,-0.21529,58.21662,2.4e-07,0.00105
1629,LARP7,-0.22172,-0.18265,-0.20604,-0.17465,-0.16821,-0.08824,-0.19214,-0.22739,-0.1904,-0.14656,-0.11402,-0.08015,-0.1798,-0.18705,-0.17106,50.52224,4.99e-06,0.0198
1630,LARS,-0.26077,-0.22643,-0.20446,-0.20482,-0.21886,-0.10173,-0.24636,-0.2361,-0.21934,-0.13019,-0.13287,-0.14437,-0.23517,-0.2559,-0.23278,68.59027,3.47e-09,1.67e-05
1631,LASP1,-0.2285,-0.23546,-0.22515,-0.21553,-0.21524,-0.11221,-0.27493,-0.26365,-0.1125,-0.16796,-0.06771,0.10381,-0.16305,-0.08654,-0.08785,118.27036,1.37e-18,8.05e-15
1632,LAT2,-0.207,-0.14642,-0.08644,-0.12167,-0.18625,-0.2468,-0.28732,-0.27301,-0.11765,-0.04784,-0.05397,0.18185,-0.01977,0.76212,0.06511,343.4942,9.52e-65,6.53e-61
1633,LBH,-0.18377,-0.18663,-0.18332,-0.22687,-0.19771,-0.03642,0.01628,-0.1187,-0.18223,-0.19808,-0.21011,-0.18139,-0.18065,-0.16499,-0.18522,90.09052,3.65e-13,1.97e-09
1634,LBR,-0.34495,-0.33689,-0.27583,-0.3819,-0.34133,-0.09053,1.06426,0.02932,-0.20476,-0.22852,-0.21544,-0.21628,-0.28042,-0.25123,-0.27718,427.09539,2.45e-82,1.71e-78
1635,LCORL,-0.02298,-0.04342,-0.08961,-0.09381,-0.10251,-0.10184,-0.00483,0.03016,-0.09269,-0.09565,-0.06939,-0.05179,-0.07636,-0.05147,-0.0929,80.72355,2.08e-11,1.08e-07
1636,LCP1,-0.17463,-0.2229,-0.01009,-0.42621,-0.21696,-0.40096,-0.54078,-0.50496,0.28163,0.21747,0.49208,1.10084,0.19514,0.09796,0.87336,1972.04261,0.0,0.0
1637,LCP2,-0.07597,-0.076,-0.17036,0.39946,0.06687,-0.20867,-0.3198,-0.32336,-0.11253,-0.13866,-0.17235,-0.10498,-0.11007,-0.21417,-0.25284,114.60413,7.13e-18,4.15e-14
1638,LDB1,-0.19368,-0.20762,-0.21581,-0.16968,-0.21095,0.00627,-0.19419,-0.19351,-0.21797,-0.22893,-0.22296,-0.22291,-0.22363,-0.21706,-0.22561,161.57913,3.42e-27,2.13e-23
1639,LDHA,-0.27712,-0.19755,-0.10532,-0.02578,-0.08827,-0.14369,-0.36244,-0.30283,-0.16559,0.0054,-0.02121,-0.01873,-0.11821,-0.10689,-0.15722,185.72239,4.46e-32,2.83e-28
1640,LDHB,-0.15711,0.16978,0.09298,0.49505,0.35713,-0.02815,-0.77982,-0.79078,-0.11188,0.16781,-0.09632,-0.11159,0.02451,-0.01181,-0.17893,1155.41,6.66e-238,4.89e-234
1641,LDLRAP1,-0.04861,-0.08399,-0.07323,-0.08334,-0.10512,-0.09385,-0.02864,0.07875,-0.09256,-0.10079,-0.10821,-0.08604,-0.08879,-0.08802,-0.13577,95.31513,3.72e-14,2.05e-10
1642,LENG8,-0.06893,-0.09243,-0.10398,-0.09386,-0.0743,-0.11569,-0.04602,0.03241,-0.10443,-0.11401,-0.10409,-0.07968,-0.09828,-0.0949,-0.10665,69.9667,1.96e-09,9.52e-06
1643,LEO1,-0.06995,-0.10499,-0.10553,-0.10176,-0.11033,-0.1044,-0.04713,0.02779,-0.10421,-0.10401,-0.10394,-0.08939,-0.10735,-0.08452,-0.10919,71.42631,1.06e-09,5.24e-06
1644,LEPR,-0.21349,-0.2136,-0.21687,-0.18421,-0.20265,-0.06258,-0.17254,-0.19251,-0.15709,-0.14229,-0.16219,-0.1234,-0.21528,-0.14962,-0.20154,57.38598,3.35e-07,0.00145
1645,LEPROT,-0.1377,-0.06574,-0.25106,0.02257,-0.0665,-0.03261,-0.05194,-0.21504,-0.22456,-0.26775,-0.25968,-0.22317,-0.29858,-0.33478,-0.28522,150.95005,4.64e-25,2.86e-21
1646,LGALS1,-0.19193,-0.13368,-0.1635,-0.17442,-0.16824,-0.20195,-0.2121,-0.19801,0.22257,-0.05331,-0.15805,1.28261,-0.10356,-0.15094,0.63275,650.85005,7.85e-130,5.65e-126
1647,LGALS3,-0.22863,-0.22982,-0.22948,-0.22982,-0.22982,-0.13597,0.02187,0.44925,-0.2281,-0.22901,-0.21117,-0.222,-0.22956,-0.22794,-0.22313,447.32914,1.31e-86,9.17e-83
1648,LGALS8,-0.19636,-0.14373,-0.16263,-0.08219,-0.12189,-0.16533,-0.25456,-0.26565,0.07491,-0.1231,-0.11833,-0.03611,-0.17977,-0.23694,-0.17712,67.40033,5.68e-09,2.71e-05
1649,LIG1,-0.21602,-0.22031,-0.1913,-0.20666,-0.22204,-0.08163,-0.04265,-0.2029,-0.16482,-0.14685,-0.16586,-0.17025,-0.20554,-0.18729,-0.19666,52.21693,2.58e-06,0.0105
1650,LIMD1,-0.07081,-0.10812,-0.10739,-0.10905,-0.1085,-0.11773,-0.05592,-0.01214,-0.1126,-0.11622,-0.12269,-0.08624,-0.11216,-0.10356,-0.11041,55.36616,7.49e-07,0.00316
1651,LIMD2,-0.17121,-0.11399,-0.15542,-0.02498,-0.02174,-0.18101,-0.33949,-0.33855,0.04766,-0.16914,-0.20111,-0.04391,-0.13879,-0.22836,-0.20845,92.43962,1.31e-13,7.14e-10
1652,LIMS1,-0.14856,-0.01819,-0.2575,0.69221,0.00359,-0.09014,-0.15035,-0.31387,-0.12816,-0.21785,-0.22987,-0.20299,-0.27315,-0.27254,-0.29121,165.68626,5.08e-28,3.17e-24
1653,LIN52,-0.02915,-0.075,-0.08444,-0.09991,-0.1011,-0.10688,-0.06104,-0.01501,-0.10137,-0.10748,-0.09926,-0.08571,-0.08901,-0.0942,-0.10609,51.83367,3e-06,0.0122
1654,LINC00493,-0.13945,-0.11894,-0.13996,-0.13519,-0.19846,-0.16668,-0.32112,-0.30767,-0.17129,-0.16058,-0.11969,-0.15343,-0.17762,-0.14644,-0.11133,78.43413,5.52e-11,2.83e-07
1655,LINC00570,-0.09069,-0.09069,-0.09069,-0.09069,-0.09069,-0.06315,0.02788,0.00139,-0.09069,-0.09069,-0.08156,-0.08566,-0.09069,-0.09069,-0.09069,198.92219,9.12e-35,5.84e-31
1656,LINC00667,-0.10097,-0.09962,-0.10395,-0.11546,-0.10466,-0.1176,-0.04554,0.00831,-0.10217,-0.11636,-0.11074,-0.1219,-0.1087,-0.07369,-0.09326,55.54442,6.98e-07,0.00296
1657,LINC01420,-0.20062,-0.15637,-0.16636,-0.10894,-0.13758,-0.1721,-0.29937,-0.28115,-0.21296,-0.11156,-0.08946,-0.10657,-0.12534,-0.10102,-0.20686,72.09785,8.03e-10,3.97e-06
1658,LINC01481,-0.0405,-0.06403,-0.06729,-0.06526,-0.07531,-0.07685,0.02844,0.04555,-0.06076,-0.07655,-0.08341,-0.0897,-0.00837,-0.06283,-0.07635,58.49606,2.15e-07,0.000943
1659,LINS1,-0.0482,-0.07917,-0.09214,-0.08895,-0.10981,-0.09647,-0.06043,0.01588,-0.09361,-0.10593,-0.11501,-0.10811,-0.09103,-0.06675,-0.1036,59.8387,1.25e-07,0.000557
1660,LITAF,-0.20035,-0.17409,-0.0769,-0.22543,-0.16414,-0.27123,-0.31114,-0.27973,0.15809,0.03442,0.10417,0.07198,0.04647,-0.09089,0.08289,336.9676,2.22e-63,1.52e-59
1661,LIX1L,-0.20681,-0.17445,-0.16394,-0.14008,-0.16683,-0.13188,-0.26606,-0.25088,-0.16392,-0.14629,-0.14163,-0.13801,-0.17439,-0.1494,-0.18005,48.68693,1.01e-05,0.039
1662,LMAN1,-0.30575,-0.24492,-0.19783,-0.06369,-0.24568,-0.13361,-0.38305,-0.35904,-0.05459,-0.05239,0.04505,-0.0671,-0.20928,-0.26518,-0.06897,251.43971,1.45e-45,9.6e-42
1663,LMAN2,-0.30825,-0.27369,-0.26289,-0.19243,-0.25189,-0.1511,-0.29423,-0.31577,-0.1373,-0.09421,0.06781,-0.02126,-0.26387,-0.26408,-0.12774,184.07244,9.65e-32,6.12e-28
1664,LMBRD2,-0.039,0.01287,-0.04297,-0.06711,0.01065,-0.07613,-0.00998,0.029,-0.04373,-0.06941,-0.08937,-0.07548,-0.03237,-0.01505,-0.0437,57.50671,3.2e-07,0.00139
1665,LMF2,-0.01137,-0.05043,-0.06483,-0.07683,-0.09023,-0.09591,-0.07505,0.01068,-0.09024,-0.09222,-0.09115,-0.10035,-0.06048,-0.04444,-0.09039,61.09195,7.54e-08,0.000339
1666,LMNA,-0.27634,-0.27912,-0.29733,-0.29125,-0.27686,0.07943,-0.117,-0.16478,-0.25251,-0.27298,-0.28291,-0.27612,-0.28903,-0.29835,-0.30554,364.63464,3.49e-69,2.4e-65
1667,LMNB1,-0.29109,-0.24803,-0.20597,-0.17731,-0.15216,-0.13026,-0.19068,-0.27714,-0.05987,-0.06583,-0.07073,0.00307,-0.21372,-0.17064,-0.01926,112.16839,2.12e-17,1.23e-13
1668,LMNB2,-0.238,-0.22817,-0.19068,-0.17748,-0.15447,-0.06148,-0.17733,-0.22522,-0.19098,-0.0989,-0.17889,-0.1684,-0.18745,-0.20269,-0.05047,73.43805,4.57e-10,2.28e-06
1669,LMO2,-0.18677,-0.24788,-0.13188,0.09807,0.06864,0.06375,-0.32038,-0.41734,-0.4049,-0.1908,-0.31632,-0.33948,-0.20309,-0.43459,-0.45048,459.48039,3.52e-89,2.48e-85
1670,LMO4,-0.11718,-0.07472,-0.13401,-0.10731,-0.10099,-0.11732,-0.17496,-0.16114,1.86149,-0.11974,-0.11047,-0.05778,-0.11589,-0.14918,-0.08383,445.25828,3.58e-86,2.51e-82
1671,LNPEP,-0.19387,-0.12834,-0.18043,-0.21923,-0.17011,-0.14776,-0.24872,-0.2369,-0.09952,-0.14477,-0.07333,-0.12255,-0.20477,-0.2029,-0.07567,49.37968,7.75e-06,0.0303
1672,LONP1,-0.05281,-0.13264,-0.08024,-0.10557,-0.09873,-0.10261,0.01627,-0.00834,-0.0823,-0.11964,-0.09744,-0.11673,-0.09748,-0.07192,-0.0935,73.05505,5.37e-10,2.67e-06
1673,LPCAT2,-0.12611,-0.141,-0.14958,-0.20409,-0.15131,-0.22477,-0.26663,-0.18762,0.22475,-0.07708,0.13462,-0.03497,-0.18938,-0.19106,-0.20819,231.63011,1.78e-41,1.17e-37
1674,LPCAT3,-0.3468,-0.32014,-0.33901,-0.28043,-0.32325,0.11566,-0.08985,-0.2947,-0.2603,-0.3305,-0.29919,-0.30061,-0.33566,-0.35944,-0.33702,512.93947,1.67e-100,1.19e-96
1675,LPIN2,-0.12687,-0.11298,-0.13773,-0.11192,-0.10831,-0.10668,-0.09394,0.07653,-0.13354,-0.13438,-0.14538,-0.1511,-0.13694,-0.11597,-0.15185,75.47147,1.94e-10,9.78e-07
1676,LRBA,-0.17519,-0.16589,-0.16511,-0.15895,-0.07507,-0.10685,-0.22085,-0.24325,-0.18312,-0.18596,-0.22966,-0.23923,-0.19473,-0.23592,-0.24098,53.51492,1.55e-06,0.00642
1677,LRCH1,-0.06618,-0.06553,-0.07348,-0.08405,-0.08729,-0.0883,-0.14946,0.07843,-0.07537,-0.08246,-0.0893,-0.08985,-0.07516,-0.06699,-0.07052,65.22684,1.39e-08,6.52e-05
1678,LRIG2,-0.02657,-0.02479,-0.05424,-0.05994,-0.06755,-0.08192,0.02515,0.10049,-0.06963,-0.08102,-0.09111,-0.08779,-0.04102,-0.05082,-0.1262,102.76378,1.4e-15,7.91e-12
1679,LRP10,-0.1644,-0.16318,-0.17104,-0.15354,-0.16848,-0.12355,-0.04997,0.06462,-0.14064,-0.18044,-0.13272,-0.14591,-0.17759,-0.17968,-0.19692,66.20566,9.31e-09,4.39e-05
1680,LRP5,-0.0784,-0.09774,-0.11021,-0.10476,-0.12557,-0.09475,-0.04629,0.04557,-0.1144,-0.11296,-0.11077,-0.13257,-0.0859,-0.05804,-0.12034,96.28582,2.43e-14,1.34e-10
1681,LRPAP1,-0.25127,-0.26112,-0.22841,-0.22733,-0.21886,-0.1817,-0.22574,-0.23277,-0.12406,-0.14254,0.07579,-0.00647,-0.20788,-0.21351,-0.22895,136.32451,3.81e-22,2.3e-18
1682,LRPPRC,-0.35621,-0.29499,-0.2783,-0.29852,-0.23725,0.01365,-0.3783,-0.43991,-0.28263,-0.10959,-0.12973,-0.18017,-0.24216,-0.2709,-0.31085,364.27052,4.16e-69,2.87e-65
1683,LRRC2,-0.04476,-0.01877,-0.04518,-0.04505,-0.04826,-0.05558,0.0181,0.04324,-0.03161,-0.04426,-0.05991,-0.04286,-0.06722,-0.03611,-0.04578,64.1262,2.19e-08,0.000101
1684,LRRC20,-0.03562,-0.10548,-0.08129,-0.04093,-0.07718,-0.08851,-0.01069,0.07961,-0.10369,-0.09471,-0.10151,-0.10306,-0.08471,-0.03789,-0.0592,106.87414,2.25e-16,1.29e-12
1685,LRRC41,-0.28751,-0.18221,-0.18493,-0.22067,-0.18778,-0.07635,-0.28458,-0.30425,-0.20688,-0.1251,-0.16044,-0.09962,-0.19295,-0.26774,-0.25304,110.32325,4.84e-17,2.79e-13
1686,LRRC58,-0.25626,-0.21455,-0.19203,-0.19905,-0.17888,-0.08821,-0.24017,-0.2521,-0.09372,-0.11133,-0.09097,-0.05342,-0.17485,-0.12685,-0.08485,90.58991,2.94e-13,1.59e-09
1687,LRRC59,-0.20041,-0.21533,-0.22321,-0.16497,-0.2201,-0.10954,-0.21132,-0.1781,-0.19465,-0.16432,-0.07306,-0.14369,-0.22049,-0.22261,-0.20304,48.9099,9.28e-06,0.036
1688,LRRC75A,-0.1869,-0.18927,-0.171,-0.14418,-0.13272,-0.07659,0.00473,-0.16933,-0.19135,-0.15164,-0.18989,-0.19496,-0.1843,-0.18759,-0.18073,48.18299,1.23e-05,0.047
1689,LRRC75A.AS1,0.64761,0.60236,0.58302,0.08114,0.48566,0.06472,-1.15104,-1.17427,0.02516,0.28254,-0.11059,-0.25226,0.37786,-0.16843,-0.35894,3392.11376,0.0,0.0
1690,LRRCC1,-0.22557,-0.20218,-0.19405,-0.19351,-0.20003,-0.02637,-0.10916,-0.20153,-0.20968,-0.17979,-0.18414,-0.16963,-0.18108,-0.2035,-0.22468,94.91724,4.43e-14,2.44e-10
1691,LRRFIP1,-0.06688,-0.05479,-0.097,-0.22363,-0.14373,-0.27653,-0.38184,-0.37161,-0.10549,-0.00698,0.17819,0.31132,-0.06803,0.0431,0.09385,526.67625,2.04e-103,1.45e-99
1692,LSM1,-0.24261,-0.21853,-0.22106,-0.17058,-0.22605,-0.04206,-0.23616,-0.22743,-0.18838,-0.20518,-0.19181,-0.18266,-0.21648,-0.19019,-0.14298,97.7701,1.27e-14,7.05e-11
1693,LSM10,-0.06596,-0.09665,-0.10132,-0.10041,-0.09509,-0.10495,-0.0073,0.0474,-0.10522,-0.11495,-0.10092,-0.10689,-0.09848,-0.08736,-0.10068,89.58657,4.54e-13,2.45e-09
1694,LSM12,-0.25293,-0.2078,-0.19354,-0.15866,-0.18494,-0.07297,-0.25769,-0.26968,-0.16892,-0.12897,-0.17184,-0.1052,-0.17092,-0.20929,-0.20752,78.64288,5.05e-11,2.59e-07
1695,LSM2,-0.23996,-0.22708,-0.20711,-0.2141,-0.20834,-0.11175,-0.25992,-0.24589,-0.23461,-0.16958,-0.0998,-0.16693,-0.22617,-0.25433,-0.2368,66.48383,8.3e-09,3.92e-05
1696,LSM3,-0.36462,-0.27102,-0.23684,-0.177,-0.28648,-0.02649,-0.37804,-0.37771,-0.20385,-0.13944,-0.15725,-0.13482,-0.24794,-0.21674,-0.08409,226.50024,2.02e-40,1.32e-36
1697,LSM4,-0.33128,-0.29375,-0.16438,-0.10245,-0.21683,-0.03823,-0.34034,-0.40164,-0.14677,-0.12367,-0.11896,-0.12302,-0.14355,-0.15838,-0.04536,234.56775,4.42e-42,2.9e-38
1698,LSM5,-0.36949,-0.25047,-0.2086,-0.1234,-0.10812,-0.0027,-0.40235,-0.42713,-0.22555,-0.14811,-0.11756,-0.14959,-0.27002,-0.22756,-0.1004,300.56842,9e-56,6.09e-52
1699,LSM6,-0.25896,-0.22193,-0.18625,-0.1746,-0.20131,-0.06158,-0.28666,-0.2886,-0.23269,-0.15731,-0.13456,-0.13824,-0.21871,-0.23127,-0.18268,119.77886,6.95e-19,4.09e-15
1700,LSM7,-0.24104,-0.10121,0.04991,0.01017,0.06809,-0.05588,-0.56918,-0.56767,-0.24573,0.04245,-0.17229,-0.22681,-0.07987,0.03114,-0.30181,528.50959,8.32e-104,5.92e-100
1701,LSM8,-0.23225,-0.21661,-0.18658,-0.16773,-0.16992,-0.09437,-0.20356,-0.24301,-0.18352,-0.15848,-0.11444,-0.13697,-0.20362,-0.20068,-0.17266,48.03631,1.3e-05,0.0497
1702,LST1,0.08983,-0.00208,0.0407,-0.09695,-0.10074,-0.315,-0.35876,-0.34269,-0.18407,-0.13534,-0.08559,0.20262,0.0138,0.29157,-0.22672,443.28764,9.33e-86,6.54e-82
1703,LTA4H,-0.08616,-0.11301,0.00811,-0.09436,-0.15082,-0.21535,-0.48371,-0.42488,-0.35877,0.07724,-0.09281,0.26961,0.00816,-0.08079,-0.15534,418.21471,1.83e-80,1.28e-76
1704,LTB,-0.05646,-0.0783,-0.07664,-0.08709,-0.12802,-0.10249,-0.12802,-0.07428,-0.11875,-0.1156,-0.10844,-0.0937,-0.00805,0.66607,-0.07171,220.42107,3.6e-39,2.35e-35
1705,LTBP1,-0.24142,-0.20864,-0.22312,0.55199,-0.18267,-0.0621,0.08365,-0.14225,0.17446,-0.22658,-0.22138,-0.23671,-0.24643,-0.2261,-0.25529,215.264,4.12e-38,2.68e-34
1706,LTBP3,-0.11895,-0.13467,-0.10676,-0.13646,-0.14537,-0.14169,-0.11923,-0.00706,-0.13828,-0.11669,-0.13556,-0.12858,-0.12752,-0.13214,-0.12817,53.00035,1.9e-06,0.00781
1707,LTBR,-0.13243,-0.13077,-0.13674,-0.13341,-0.12996,-0.14207,-0.10431,0.03897,-0.13644,-0.08988,-0.04286,0.01163,-0.12563,-0.1248,-0.13132,56.95728,3.98e-07,0.00171
1708,LTV1,-0.23691,-0.23728,-0.23511,-0.21399,-0.21369,-0.08469,-0.23975,-0.1817,-0.22492,-0.15242,-0.01677,-0.06637,-0.2238,-0.23862,-0.22255,98.354,9.8e-15,5.46e-11
1709,LUC7L,-0.08019,-0.09482,-0.10311,-0.11026,-0.10171,-0.09423,-0.00765,0.06,-0.10933,-0.10049,-0.11513,-0.09539,-0.10319,-0.10667,-0.09972,89.22713,5.31e-13,2.86e-09
1710,LUC7L2,-0.23931,-0.22477,-0.18233,-0.16312,-0.16595,-0.08487,-0.11426,-0.22997,-0.17061,-0.1496,-0.14478,-0.10784,-0.22197,-0.19766,-0.20951,51.87451,2.95e-06,0.012
1711,LUC7L3,-0.19546,-0.12743,-0.15265,-0.14564,-0.03216,-0.07203,-0.21281,-0.39116,-0.19673,-0.08548,-0.23284,-0.16518,-0.18909,-0.14041,-0.21741,129.99688,6.81e-21,4.07e-17
1712,LXN,-0.13752,-0.15411,-0.17148,-0.16123,-0.1665,-0.05359,-0.14629,-0.15177,-0.17056,-0.17833,-0.1773,-0.19095,-0.17134,-0.15574,-0.19325,48.03405,1.3e-05,0.0497
1713,LY6E,-0.18877,-0.10331,-0.09981,0.20283,-0.03379,-0.19502,-0.32868,-0.30606,-0.17851,-0.05443,-0.19283,-0.14909,-0.05586,-0.02976,-0.25931,96.72878,2e-14,1.11e-10
1714,LYAR,-0.26647,-0.26325,-0.26923,-0.18761,-0.13368,0.05029,-0.24877,-0.25857,-0.25,-0.23456,-0.21251,-0.23601,-0.26318,-0.26263,-0.26311,284.76692,1.76e-52,1.18e-48
1715,LYN,-0.02986,0.01495,-0.0956,0.23236,0.07919,-0.16796,-0.36112,-0.29496,-0.16323,-0.14193,-0.24506,-0.01675,-0.12122,-0.30842,0.0345,172.09959,2.58e-29,1.62e-25
1716,LYPLA1,-0.28981,-0.22016,-0.19467,-0.08699,0.0074,-0.12862,-0.31809,-0.29775,-0.15102,-0.05703,-0.08769,-0.03241,-0.14341,-0.16149,-0.1613,132.66976,2.02e-21,1.21e-17
1717,LYPLAL1,-0.04123,-0.05007,-0.04777,-0.06883,-0.07648,-0.07888,0.05204,0.09854,-0.06397,-0.0807,-0.07958,-0.08037,-0.03652,-0.04714,-0.01372,115.73227,4.29e-18,2.51e-14
1718,LYSMD2,-0.06513,-0.02429,-0.0548,-0.06284,-0.03498,-0.19237,-0.24522,-0.22399,-0.19039,-0.07247,-0.13448,-0.13498,-0.11974,-0.04873,-0.10789,61.60886,6.11e-08,0.000276
1719,LYST,-0.19124,-0.20174,-0.20019,-0.19533,-0.20648,-0.2009,-0.18298,-0.16242,-0.19771,-0.08,0.22384,0.26122,-0.20496,-0.21056,-0.20074,306.0959,6.32e-57,4.29e-53
1720,LYZ,-0.24685,-0.24536,-0.2431,-0.2471,-0.24264,-0.24213,-0.24436,-0.22896,-0.22209,-0.14599,0.22074,2.7995,-0.24758,-0.2466,-0.19919,1824.16875,0.0,0.0
1721,LZIC,-0.04695,-0.07458,-0.08764,-0.06559,-0.07807,-0.08834,0.05383,0.02983,-0.09079,-0.09319,-0.07742,-0.09432,-0.08483,-0.06015,-0.08916,66.70462,7.58e-09,3.59e-05
1722,LZTFL1,-0.08707,-0.09834,-0.10914,-0.10133,-0.10247,-0.09801,-0.03682,0.12631,-0.11745,-0.09099,-0.08069,-0.09702,-0.0942,-0.09177,-0.07064,139.57303,8.63e-23,5.24e-19
1723,M6PR,-0.30073,-0.21284,-0.2303,-0.02416,-0.207,-0.13145,-0.31109,-0.32269,-0.16493,-0.08499,-0.06907,0.0571,-0.20758,-0.25851,-0.23571,149.38743,9.53e-25,5.86e-21
1724,MACF1,-0.16731,-0.14605,-0.13649,-0.12878,-0.09279,-0.21699,-0.31261,-0.28494,-0.10979,-0.036,-0.08942,-0.06615,-0.11866,-0.06387,-0.20751,101.6946,2.24e-15,1.26e-11
1725,MAD2L1,-0.29038,-0.26988,-0.21904,-0.15266,-0.18768,-0.04007,-0.2278,-0.26118,-0.16486,-0.17172,-0.16519,-0.177,-0.20519,-0.20939,-0.1438,115.85198,4.07e-18,2.38e-14
1726,MAFG,-0.22541,-0.2235,-0.22907,-0.09116,-0.18476,-0.14086,0.004,-0.04968,-0.12319,-0.17445,-0.17365,0.00556,-0.26371,-0.24917,-0.19999,64.22587,2.1e-08,9.75e-05
1727,MAFK,-0.11291,-0.11681,-0.11882,-0.10637,-0.13348,-0.12885,-0.04651,0.06931,-0.11849,-0.04,-0.04663,-0.04062,-0.09474,-0.06258,-0.02225,75.18168,2.19e-10,1.1e-06
1728,MAGED1,-0.30969,-0.20367,-0.2258,-0.22541,-0.18386,-0.09539,-0.40522,-0.38662,-0.20892,-0.1391,-0.06999,-0.05437,-0.09444,-0.13867,-0.08599,211.58938,2.34e-37,1.51e-33
1729,MAGED2,-0.14139,-0.11958,-0.17949,0.0088,-0.08483,-0.17821,-0.27573,-0.27819,-0.15818,-0.16251,-0.13361,-0.11405,-0.21848,-0.23563,-0.19678,58.53927,2.11e-07,0.000927
1730,MAGOH,-0.28408,-0.24044,-0.21604,-0.20842,-0.1632,-0.02121,-0.28239,-0.29085,-0.20401,-0.14047,-0.14878,-0.1822,-0.20273,-0.23975,-0.2016,147.36753,2.41e-24,1.48e-20
1731,MAGOHB,-0.21415,-0.20085,-0.20346,-0.21303,-0.14781,-0.08292,-0.20826,-0.17453,-0.18585,-0.17255,-0.12387,-0.12487,-0.20708,-0.18212,-0.12962,48.02727,1.3e-05,0.0499
1732,MAGT1,-0.24133,-0.23858,-0.19873,-0.1514,-0.19076,-0.12442,-0.20407,-0.23747,-0.17941,-0.08689,-0.05308,-0.09616,-0.1919,-0.19039,-0.12355,62.39217,4.45e-08,0.000203
1733,MAK16,-0.08885,-0.13164,-0.12688,-0.12826,-0.13779,-0.08668,-0.06333,-0.01341,-0.14589,-0.10887,-0.12071,-0.12336,-0.13711,-0.12636,-0.09184,56.3548,5.06e-07,0.00216
