,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,statisticsValue,P-value,Adj P-value
0,ACTB,-0.554,-0.339,-0.228,1.004,0.173,0.337,0.45,1.684,0.384,0.115,0.165,841.043,3.08e-174,2.09e-170
1,ACTG1,-0.49,-0.33,-0.242,-0.036,-0.589,0.163,0.427,1.459,1.318,0.188,1.629,1217.115,2.93e-255,1.99e-251
2,ACTN1,-0.279,-0.255,-0.195,0.304,-0.098,0.286,-0.139,-0.235,-0.251,-0.238,-0.105,84.68,6.04e-14,3.86e-10
3,ACTR2,-0.328,-0.243,-0.213,-0.011,-0.171,0.195,-0.044,0.448,-0.203,-0.114,-0.119,118.188,1.18e-20,7.66e-17
4,ACTR3,-0.283,-0.259,-0.172,-0.073,-0.13,0.119,-0.064,0.154,0.026,-0.224,-0.185,63.016,9.7e-10,6.1e-06
5,ACY3,-0.138,-0.154,-0.111,-0.154,-0.154,-0.084,-0.08,0.029,0.119,0.27,-0.083,45.668,1.65e-06,0.0101
6,ADA,-0.285,-0.29,-0.192,-0.308,-0.29,-0.126,0.241,0.468,0.228,-0.074,0.867,283.71,4.29e-55,2.87e-51
7,AFF1,-0.265,-0.23,-0.245,-0.185,-0.22,-0.208,-0.045,-0.144,0.176,0.189,0.782,196.209,9.96e-37,6.6e-33
8,AIF1,-0.083,-0.179,-0.104,-0.349,-0.654,-0.286,-0.104,-0.297,-0.274,-0.067,-0.42,82.001,2.03e-13,1.3e-09
9,AK2,-0.293,-0.281,-0.173,-0.2,-0.11,0.265,-0.078,-0.11,-0.15,-0.343,-0.282,72.985,1.17e-11,7.45e-08
10,ALDH1A1,0.023,-0.069,-0.204,-0.004,0.059,-0.42,-0.376,-0.449,-0.372,-0.422,-0.438,149.736,4.22e-27,2.77e-23
11,ANAPC11,-0.3,-0.294,-0.185,-0.075,-0.191,0.013,0.056,0.132,-0.268,-0.315,-0.15,62.152,1.42e-09,8.89e-06
12,ANP32A,-0.284,-0.23,-0.21,-0.095,0.0,0.124,-0.061,0.156,-0.34,-0.281,-0.135,68.072,1.04e-10,6.61e-07
13,ANP32B,-0.215,-0.241,-0.078,0.175,-0.14,-0.248,0.051,0.073,0.623,-0.154,-0.326,54.173,4.5e-08,0.00028
14,ANXA1,-0.174,-0.244,-0.12,-0.315,-0.253,0.357,-0.206,-0.298,-0.399,-0.349,-0.347,90.488,4.29e-15,2.75e-11
15,APEX1,-0.289,-0.183,-0.078,-0.229,-0.166,0.129,-0.058,-0.091,-0.194,-0.389,-0.159,60.892,2.46e-09,1.54e-05
16,APLP2,-0.198,-0.203,-0.082,-0.263,-0.253,0.636,-0.224,-0.408,-0.395,-0.465,-0.458,180.339,1.99e-33,1.32e-29
17,ARF1,-0.272,-0.246,-0.174,-0.067,-0.012,0.176,-0.229,0.096,-0.267,-0.228,-0.145,61.783,1.66e-09,1.04e-05
18,ARF6,-0.275,-0.33,-0.207,-0.242,-0.132,-0.032,0.011,0.362,0.272,-0.063,-0.049,97.863,1.46e-16,9.4e-13
19,ARHGDIB,-0.136,-0.043,-0.035,0.134,-0.473,-0.279,-0.224,-0.159,0.032,-0.289,0.081,51.321,1.52e-07,0.000944
20,ARL4C,-0.206,-0.232,-0.173,-0.215,-0.234,-0.184,0.002,0.476,0.007,0.026,0.227,127.569,1.46e-22,9.54e-19
21,ARPC1B,-0.244,-0.094,-0.186,0.409,-0.238,0.238,-0.141,0.16,-0.344,-0.508,-0.482,143.075,9.87e-26,6.46e-22
22,ARPC2,-0.32,-0.271,-0.136,-0.208,-0.269,0.269,0.014,0.432,0.052,-0.272,-0.204,127.46,1.54e-22,1e-18
23,ARPC3,-0.339,-0.245,-0.158,0.008,-0.24,0.175,0.133,0.313,-0.035,-0.043,-0.153,114.839,5.62e-20,3.65e-16
24,ARPC5,-0.277,-0.217,-0.172,-0.046,-0.221,-0.001,-0.036,0.352,-0.03,-0.178,-0.177,73.552,9.1e-12,5.79e-08
25,ATP1A1,-0.242,-0.29,-0.117,-0.079,-0.152,0.084,-0.083,-0.205,-0.12,-0.383,-0.272,47.988,6.24e-07,0.00384
26,ATP1B3,-0.271,-0.304,-0.146,-0.215,-0.129,0.127,-0.089,-0.089,-0.107,-0.258,-0.184,48.051,6.08e-07,0.00374
27,ATP5A1,-0.292,-0.238,-0.154,-0.135,0.066,0.132,-0.07,-0.017,-0.178,-0.34,-0.114,59.621,4.28e-09,2.68e-05
28,ATP5B,-0.362,-0.216,-0.17,-0.048,0.152,0.376,-0.041,-0.047,-0.163,-0.338,-0.104,125.089,4.68e-22,3.05e-18
29,ATP5E,-0.361,-0.253,-0.217,0.035,-0.143,-0.059,0.155,0.52,0.021,0.175,-0.044,152.634,1.07e-27,7.03e-24
30,ATP5F1,-0.283,-0.278,-0.176,0.054,-0.022,0.095,-0.158,0.165,-0.119,-0.272,-0.146,66.772,1.85e-10,1.17e-06
31,ATP5G1,-0.282,-0.318,-0.174,-0.245,0.158,0.239,-0.078,-0.113,-0.373,-0.355,-0.27,85.384,4.38e-14,2.81e-10
32,ATP5G3,-0.329,-0.261,-0.138,-0.217,0.128,0.275,0.026,-0.001,-0.013,-0.38,-0.178,107.306,1.86e-18,1.21e-14
33,ATP5I,-0.286,-0.171,-0.187,-0.075,-0.012,0.148,-0.054,0.049,-0.22,-0.267,-0.143,57.113,1.27e-08,7.93e-05
34,ATP5J2,-0.336,-0.277,-0.197,-0.218,0.006,0.097,-0.105,0.03,-0.154,-0.304,-0.156,64.191,5.79e-10,3.64e-06
35,ATP5L,-0.313,-0.138,-0.096,-0.085,-0.204,-0.195,0.069,0.236,0.005,0.007,-0.053,64.933,4.17e-10,2.63e-06
36,ATPIF1,-0.242,-0.19,-0.174,-0.086,0.342,0.035,-0.013,-0.056,-0.188,-0.285,-0.326,60.124,3.43e-09,2.15e-05
37,AURKB,-0.113,-0.117,-0.081,-0.072,-0.042,-0.051,-0.016,0.071,-0.151,0.301,-0.083,50.595,2.07e-07,0.00128
38,AVP,0.082,-0.314,-0.112,-0.365,-0.365,-0.365,-0.365,-0.365,-0.365,-0.365,-0.365,140.409,3.47e-25,2.27e-21
39,AZU1,-0.102,-0.099,-0.094,-0.102,-0.091,0.623,-0.067,-0.088,-0.102,-0.091,-0.093,116.486,2.61e-20,1.69e-16
40,B2M,-0.157,-0.59,-0.138,-0.324,-0.662,0.306,0.496,1.09,0.57,0.841,0.066,576.165,2.25e-117,1.52e-113
41,BAALC,-0.222,-0.304,-0.146,-0.324,-0.367,-0.197,-0.089,-0.222,-0.249,-0.152,0.104,43.799,3.58e-06,0.0219
42,BASP1,-0.208,-0.189,-0.16,-0.086,-0.133,-0.091,-0.108,0.117,-0.053,0.278,-0.016,67.586,1.29e-10,8.19e-07
43,BCL11A,-0.19,-0.26,-0.162,-0.358,-0.29,-0.2,-0.028,0.034,0.19,0.01,0.227,73.93,7.68e-12,4.89e-08
44,BCL2,-0.22,-0.215,-0.174,-0.229,-0.223,0.113,0.058,0.182,0.087,-0.214,-0.119,60.849,2.5e-09,1.57e-05
45,BCLAF1,-0.267,-0.293,-0.142,-0.167,-0.124,0.128,0.008,-0.035,-0.23,-0.282,-0.237,53.554,5.87e-08,0.000365
46,BEX1,-0.02,-0.247,-0.063,-0.313,-0.359,-0.253,-0.299,-0.363,-0.294,-0.326,-0.361,90.328,4.61e-15,2.96e-11
47,BEX2,-0.038,-0.147,-0.169,-0.254,-0.321,-0.357,-0.274,-0.39,-0.315,-0.353,-0.346,63.485,7.89e-10,4.97e-06
48,BID,-0.248,-0.24,-0.158,-0.175,-0.004,0.059,-0.031,0.074,-0.18,-0.203,-0.157,42.286,6.67e-06,0.0407
49,BRI3BP,-0.241,-0.237,-0.19,-0.211,-0.189,0.302,0.015,0.215,-0.181,-0.222,-0.2,94.147,8.03e-16,5.17e-12
50,BST2,0.109,-0.284,-0.189,-0.48,-0.416,-0.258,-0.246,-0.36,-0.236,-0.305,-0.388,135.362,3.75e-24,2.45e-20
51,BTF3,-0.122,-0.085,0.011,-0.252,-0.268,-0.13,-0.011,-0.477,-0.178,-0.096,0.153,56.242,1.85e-08,0.000115
52,BZW1,-0.309,-0.242,-0.198,-0.131,-0.098,0.03,-0.02,0.225,-0.301,-0.242,-0.118,67.45,1.37e-10,8.7e-07
53,C12orf75,-0.187,-0.184,-0.183,-0.176,-0.196,-0.067,-0.068,1.349,-0.093,-0.167,-0.141,152.522,1.13e-27,7.41e-24
54,C14orf2,-0.364,-0.221,-0.167,0.119,0.075,0.111,0.094,0.032,0.178,-0.216,-0.088,101.661,2.53e-17,1.64e-13
55,C1QBP,-0.318,-0.316,-0.146,-0.212,0.165,0.327,-0.002,-0.075,-0.236,-0.376,-0.226,121.464,2.55e-21,1.66e-17
56,C1orf186,-0.258,-0.266,0.025,-0.318,-0.336,-0.095,-0.251,-0.162,-0.267,-0.315,-0.323,75.505,3.79e-12,2.42e-08
57,C1orf228,-0.251,-0.249,-0.159,-0.262,-0.255,0.018,0.08,-0.002,0.053,-0.157,0.037,57.219,1.21e-08,7.57e-05
58,C20orf24,-0.277,-0.264,-0.185,-0.145,-0.14,0.103,-0.096,-0.004,-0.275,-0.243,-0.202,42.765,5.48e-06,0.0335
59,C5orf56,-0.196,-0.231,-0.184,-0.238,-0.238,-0.173,-0.064,-0.162,-0.19,-0.205,0.493,102.075,2.09e-17,1.35e-13
60,C6orf25,-0.14,-0.081,-0.213,1.559,0.016,-0.3,-0.279,-0.321,-0.299,-0.315,-0.308,129.709,5.36e-23,3.5e-19
61,C6orf48,-0.012,0.077,-0.04,-0.25,-0.436,-0.399,-0.309,-0.432,-0.158,-0.252,-0.369,113.2,1.21e-19,7.82e-16
62,CACYBP,-0.278,-0.297,-0.204,-0.079,-0.006,-0.014,-0.127,0.079,-0.212,-0.38,-0.202,50.204,2.45e-07,0.00151
63,CALM1,-0.229,-0.269,-0.216,-0.221,-0.031,-0.048,0.028,0.134,-0.036,-0.193,-0.043,46.702,1.07e-06,0.00658
64,CALM2,-0.289,-0.288,-0.166,-0.171,0.084,-0.074,0.054,0.165,-0.075,-0.035,-0.188,59.717,4.1e-09,2.57e-05
65,CALR,-0.316,-0.308,-0.16,-0.179,-0.19,1.744,0.016,0.045,-0.315,-0.231,-0.173,485.14,6.6e-98,4.44e-94
66,CANX,-0.263,-0.299,-0.162,-0.234,-0.11,0.361,-0.201,0.227,-0.171,-0.266,-0.167,100.512,4.3e-17,2.78e-13
67,CAP1,-0.262,-0.272,-0.18,0.012,-0.219,-0.095,0.004,0.306,-0.107,-0.312,-0.19,60.508,2.9e-09,1.82e-05
68,CAPG,-0.243,-0.25,-0.203,-0.278,-0.268,-0.121,0.002,0.191,0.04,-0.105,-0.036,51.439,1.45e-07,0.000898
69,CAPZA1,-0.328,-0.279,-0.157,0.023,0.014,0.175,0.084,0.103,-0.139,-0.322,-0.205,96.763,2.42e-16,1.56e-12
70,CARD19,-0.197,-0.206,-0.194,-0.101,-0.42,-0.3,-0.136,-0.237,-0.139,0.425,-0.205,74.106,7.1e-12,4.52e-08
71,CAT,-0.267,-0.214,-0.073,0.123,0.322,0.45,-0.235,-0.246,-0.229,-0.386,-0.437,158.56,6.42e-29,4.23e-25
72,CBX3,-0.315,-0.236,-0.145,-0.143,0.124,-0.051,0.036,0.116,0.085,-0.405,-0.02,83.958,8.38e-14,5.36e-10
73,CCDC142,-0.248,-0.251,-0.22,-0.263,-0.182,0.206,-0.167,-0.184,-0.194,-0.064,-0.159,47.777,6.82e-07,0.0042
74,CCDC50,-0.109,-0.141,-0.088,-0.093,-0.075,-0.093,-0.087,0.487,-0.073,-0.061,-0.059,63.257,8.72e-10,5.49e-06
75,CCND3,-0.211,-0.258,-0.28,-0.18,-0.325,-0.302,-0.206,0.095,-0.212,-0.09,0.169,66.115,2.48e-10,1.57e-06
76,CCT2,-0.293,-0.242,-0.143,-0.188,0.166,0.262,-0.006,-0.026,-0.271,-0.427,-0.199,101.123,3.25e-17,2.1e-13
77,CCT3,-0.183,-0.238,-0.092,-0.205,-0.079,0.017,-0.064,-0.279,-0.41,-0.511,-0.305,61.598,1.8e-09,1.13e-05
78,CCT5,-0.318,-0.29,-0.156,-0.01,0.104,0.191,0.053,-0.137,-0.214,-0.34,-0.18,85.467,4.22e-14,2.7e-10
79,CCT6A,-0.264,-0.262,-0.146,-0.085,0.066,0.09,-0.1,-0.064,-0.395,-0.403,-0.282,59.196,5.14e-09,3.22e-05
80,CD164,0.344,0.048,-0.012,0.275,-0.693,-0.863,-0.544,-0.716,-0.363,-0.144,-0.899,750.216,1.03e-154,6.98e-151
81,CD34,-0.077,-0.339,0.046,-0.395,-0.508,-0.313,0.087,-0.56,0.244,-0.063,-0.367,166.197,1.7e-30,1.12e-26
82,CD37,0.227,0.022,-0.211,-0.302,-0.567,-0.586,-0.329,-0.298,-0.134,0.053,-0.613,300.314,1.33e-58,8.92e-55
83,CD44,0.125,-0.357,-0.205,-0.56,-0.497,-0.009,-0.155,-0.287,0.025,-0.073,-0.35,172.022,1.06e-31,6.97e-28
84,CD47,-0.265,-0.369,-0.136,-0.364,-0.118,-0.056,0.045,0.094,-0.003,-0.11,0.028,76.777,2.14e-12,1.37e-08
85,CD48,-0.218,-0.267,-0.208,-0.279,-0.279,0.122,0.014,-0.051,0.048,-0.145,0.29,94.131,8.09e-16,5.21e-12
86,CD52,-0.001,-0.44,0.01,-0.685,-0.691,-0.569,-0.039,-0.458,-0.035,0.288,0.024,297.448,5.38e-58,3.6e-54
87,CD53,-0.194,-0.458,-0.22,-0.581,-0.396,-0.094,0.079,0.329,0.576,0.482,0.484,288.499,4.18e-56,2.8e-52
88,CD63,-0.202,-0.155,-0.217,0.482,-0.032,-0.052,-0.224,-0.275,-0.316,-0.271,-0.345,43.932,3.39e-06,0.0208
89,CD74,0.167,-0.586,-0.351,-0.849,-0.831,-0.08,0.032,1.179,-0.121,0.547,0.4,782.595,1.14e-161,7.69e-158
90,CD79A,-0.174,-0.164,-0.176,-0.181,-0.183,-0.168,-0.143,-0.114,-0.136,-0.126,1.706,341.997,1.99e-67,1.33e-63
91,CD84,-0.226,-0.118,-0.233,0.443,0.112,0.102,-0.18,-0.191,-0.299,-0.242,-0.231,68.526,8.53e-11,5.41e-07
92,CD99,-0.337,-0.461,-0.069,-0.503,-0.454,-0.178,0.437,0.027,1.015,0.137,1.583,692.719,2.3e-142,1.55e-138
93,CDC123,-0.301,-0.29,-0.176,-0.147,-0.028,0.095,0.002,-0.095,0.028,-0.334,-0.248,55.432,2.62e-08,0.000163
94,CDCA7,-0.289,-0.284,-0.08,-0.292,-0.199,0.298,0.154,-0.01,-0.217,-0.229,-0.115,123.456,1e-21,6.54e-18
95,CDK2AP1,-0.294,-0.356,-0.066,-0.062,-0.045,-0.241,-0.034,-0.028,-0.104,-0.132,-0.132,62.31,1.32e-09,8.3e-06
96,CDK4,-0.315,-0.289,-0.166,-0.167,0.158,0.17,0.042,-0.101,-0.295,-0.37,-0.28,86.509,2.63e-14,1.69e-10
97,CDK6,-0.449,-0.101,0.004,-0.076,0.044,0.08,0.161,-0.232,-0.198,-0.348,0.121,203.065,3.7e-38,2.45e-34
98,CEBPA,-0.154,-0.154,-0.134,-0.235,-0.235,0.592,-0.116,-0.156,-0.17,-0.164,-0.204,98.559,1.06e-16,6.83e-13
99,CFL1,-0.42,-0.368,-0.193,0.225,0.091,0.445,0.278,1.087,0.399,-0.124,0.106,427.664,1.21e-85,8.12e-82
100,CHCHD2,-0.331,-0.245,-0.114,-0.02,0.169,0.179,0.108,0.4,-0.172,-0.463,-0.07,153.459,7.23e-28,4.75e-24
101,CIRBP,0.051,-0.147,-0.251,-0.355,-0.508,-0.509,-0.195,-0.18,-0.162,0.381,-0.119,149.658,4.38e-27,2.88e-23
102,CKLF,-0.272,-0.36,-0.164,-0.205,-0.229,-0.08,0.035,0.079,-0.069,-0.228,-0.162,51.266,1.56e-07,0.000966
103,CKS1B,-0.264,-0.265,-0.149,-0.204,-0.029,-0.06,-0.019,0.139,-0.227,-0.252,-0.172,48.314,5.44e-07,0.00335
104,CLEC11A,-0.221,-0.224,-0.182,-0.161,-0.129,0.448,-0.16,-0.215,-0.291,-0.217,-0.207,78.421,1.02e-12,6.53e-09
105,CLTC,-0.287,-0.26,-0.204,-0.158,0.094,0.01,-0.071,0.029,-0.239,-0.26,-0.176,46.137,1.35e-06,0.00833
106,CLU,-0.003,-0.119,-0.283,0.346,-0.247,-0.282,-0.378,-0.371,-0.381,-0.368,-0.363,108.937,8.74e-19,5.66e-15
107,CMTM6,-0.289,-0.275,-0.213,0.319,-0.19,-0.053,-0.121,0.02,-0.108,-0.179,-0.133,48.543,4.94e-07,0.00305
108,CNDP2,-0.256,-0.269,-0.207,-0.219,-0.034,0.023,-0.072,0.116,-0.13,-0.161,-0.12,45.963,1.46e-06,0.00895
109,CNN2,-0.266,-0.227,-0.092,-0.081,-0.167,-0.045,-0.076,-0.027,0.048,-0.11,-0.462,58.566,6.76e-09,4.23e-05
110,CNPY3,-0.25,-0.306,-0.16,-0.246,-0.28,0.179,-0.071,0.576,-0.15,-0.362,-0.301,124.054,7.6e-22,4.95e-18
111,CNRIP1,-0.193,-0.007,-0.185,0.013,1.737,-0.201,-0.201,-0.201,-0.201,-0.174,-0.19,181.497,1.15e-33,7.56e-30
112,COMMD6,0.031,-0.13,-0.175,-0.369,-0.413,-0.351,-0.296,-0.286,0.044,-0.38,-0.368,93.641,1.01e-15,6.52e-12
113,COMT,-0.223,-0.223,-0.132,-0.096,-0.114,0.15,-0.083,-0.344,-0.403,-0.359,-0.134,50.764,1.93e-07,0.00119
114,COPE,-0.315,-0.256,-0.211,-0.168,0.006,0.102,-0.007,-0.042,-0.269,-0.28,-0.188,55.444,2.61e-08,0.000163
115,CORO1A,-0.391,-0.422,-0.174,-0.439,-0.455,0.061,0.289,1.525,0.488,0.474,0.247,579.81,3.72e-118,2.51e-114
116,COTL1,-0.242,-0.236,-0.182,-0.184,-0.075,0.518,-0.117,0.01,-0.207,-0.251,-0.247,118.867,8.59e-21,5.58e-17
117,COX5A,-0.402,-0.295,-0.05,-0.154,0.123,0.32,0.213,0.182,-0.014,-0.466,-0.127,197.101,6.49e-37,4.3e-33
118,COX6A1,-0.304,-0.313,-0.203,-0.124,-0.056,0.03,-0.039,0.047,-0.06,-0.183,-0.106,53.198,6.84e-08,0.000425
119,COX6B1,-0.291,-0.189,-0.144,-0.123,0.065,0.048,-0.143,-0.097,-0.334,-0.288,-0.254,42.337,6.53e-06,0.0399
120,COX6C,-0.274,-0.21,-0.125,-0.199,-0.024,0.023,-0.008,0.053,-0.019,-0.326,-0.198,48.315,5.44e-07,0.00335
121,COX7A2,-0.299,-0.153,-0.22,-0.122,-0.053,-0.042,-0.129,0.223,0.27,-0.257,-0.132,53.838,5.2e-08,0.000323
122,COX7B,-0.307,-0.266,-0.177,-0.143,-0.096,0.094,0.002,0.041,-0.355,-0.226,-0.106,57.233,1.21e-08,7.53e-05
123,COX8A,-0.325,-0.299,-0.199,0.02,-0.001,0.054,-0.076,0.143,-0.197,-0.345,-0.174,75.849,3.25e-12,2.07e-08
124,CPA3,-0.289,-0.036,-0.183,-0.102,-0.2,0.845,-0.032,-0.25,-0.271,-0.299,-0.296,197.183,6.24e-37,4.13e-33
125,CPPED1,-0.234,0.285,-0.221,-0.125,-0.137,-0.187,-0.242,-0.216,-0.251,-0.253,-0.254,119.276,7.1e-21,4.61e-17
126,CRHBP,0.369,-0.038,-0.122,-0.478,-0.591,-0.577,-0.586,-0.602,-0.594,-0.551,-0.589,543.864,1.84e-110,1.24e-106
127,CS,-0.286,-0.185,-0.179,0.061,-0.081,0.144,-0.06,-0.192,-0.115,-0.313,-0.215,49.918,2.76e-07,0.00171
128,CSF2RB,-0.115,-0.086,-0.125,-0.119,0.527,-0.111,-0.161,-0.106,-0.12,-0.165,-0.174,45.534,1.74e-06,0.0107
129,CSF3R,-0.206,-0.217,-0.072,-0.279,-0.268,0.418,-0.1,-0.184,-0.221,-0.249,-0.228,96.108,3.27e-16,2.1e-12
130,CST3,-0.172,-0.27,-0.28,0.243,-0.076,-0.186,-0.126,0.054,-0.224,-0.329,-0.342,48.572,4.88e-07,0.00301
131,CST7,-0.067,-0.034,-0.06,-0.023,-0.059,0.481,-0.036,-0.055,-0.1,-0.1,-0.072,63.374,8.29e-10,5.21e-06
132,CTD-2090I13.1,0.24,0.154,-0.234,-0.304,0.036,-0.53,-0.31,-0.605,-0.477,-0.512,-0.381,316.0,6.41e-62,4.29e-58
133,CTNNBL1,-0.239,-0.059,-0.226,-0.019,0.352,-0.177,-0.202,-0.224,-0.308,-0.244,-0.24,52.161,1.07e-07,0.000661
134,CTSC,-0.281,-0.299,-0.173,-0.14,-0.177,0.259,-0.101,0.109,-0.039,-0.224,-0.266,82.035,2e-13,1.28e-09
135,CTSG,-0.043,-0.051,-0.033,-0.052,-0.052,0.33,-0.042,-0.018,-0.052,-0.052,-0.052,56.798,1.45e-08,9.08e-05
136,CXCR4,-0.233,-0.28,-0.209,-0.253,-0.296,-0.057,0.059,0.442,0.221,0.069,0.143,136.708,1.99e-24,1.3e-20
137,CXXC5,-0.264,-0.277,-0.149,-0.403,-0.191,-0.311,-0.135,-0.038,-0.102,0.246,-0.11,65.683,3e-10,1.89e-06
138,CYC1,-0.306,-0.28,-0.157,-0.08,0.039,0.086,-0.072,-0.053,-0.35,-0.28,-0.245,55.294,2.78e-08,0.000173
139,CYCS,-0.261,-0.287,-0.191,-0.244,0.019,0.16,-0.227,-0.042,-0.365,-0.346,-0.197,57.506,1.07e-08,6.69e-05
140,CYFIP2,-0.275,-0.315,-0.158,-0.353,-0.355,-0.231,0.132,0.22,0.412,0.318,0.26,180.278,2.05e-33,1.35e-29
141,CYGB,-0.163,-0.163,-0.163,-0.163,-0.163,-0.163,-0.118,-0.033,-0.088,-0.098,1.494,268.421,7.2e-52,4.8e-48
142,CYSLTR1,-0.226,-0.256,-0.227,-0.245,-0.255,0.144,-0.237,-0.018,-0.195,-0.096,-0.053,45.898,1.5e-06,0.00919
143,CYTL1,-0.138,0.215,-0.177,-0.26,0.017,-0.366,-0.348,-0.492,-0.362,-0.367,-0.473,179.832,2.54e-33,1.68e-29
144,DBI,-0.248,-0.261,-0.184,-0.25,-0.262,0.121,-0.04,0.472,-0.056,-0.136,-0.16,105.754,3.82e-18,2.47e-14
145,DCK,-0.277,-0.302,-0.182,-0.195,-0.138,-0.202,0.123,0.156,0.706,0.229,0.244,148.214,8.68e-27,5.7e-23
146,DDIT4,-0.166,-0.165,-0.155,-0.216,-0.21,-0.198,-0.146,-0.085,-0.064,0.404,0.057,75.705,3.47e-12,2.21e-08
147,DDOST,-0.292,-0.243,-0.111,-0.222,-0.159,0.17,-0.107,0.087,-0.146,-0.292,-0.217,68.089,1.04e-10,6.56e-07
148,DDX21,-0.283,-0.212,-0.146,-0.179,0.226,0.734,-0.154,-0.209,-0.235,-0.395,-0.251,195.221,1.6e-36,1.06e-32
149,DDX5,-0.306,-0.245,-0.195,-0.44,-0.077,0.207,-0.045,0.527,0.263,0.013,-0.034,143.039,1e-25,6.57e-22
150,DEK,-0.3,-0.381,-0.081,-0.006,-0.062,0.065,0.027,0.247,-0.317,-0.428,-0.303,126.201,2.78e-22,1.81e-18
151,DHFR,-0.3,-0.304,-0.123,-0.202,-0.056,-0.022,0.164,0.192,-0.199,-0.292,-0.181,89.305,7.35e-15,4.72e-11
152,DHX15,-0.29,-0.298,-0.149,-0.229,0.029,0.095,-0.077,-0.035,-0.312,-0.319,-0.216,58.288,7.63e-09,4.77e-05
153,DHX9,-0.306,-0.294,-0.168,-0.153,0.062,0.101,-0.098,0.052,-0.123,-0.27,-0.132,66.265,2.32e-10,1.47e-06
154,DKC1,-0.265,-0.247,-0.161,-0.108,0.091,0.084,-0.15,-0.216,-0.274,-0.36,-0.225,46.897,9.86e-07,0.00607
155,DNAJA1,-0.228,-0.31,-0.156,-0.25,-0.196,0.013,-0.107,0.184,-0.162,-0.337,-0.196,52.528,9.11e-08,0.000566
156,DNAJC8,-0.224,-0.289,-0.175,-0.101,0.084,0.008,-0.078,-0.025,-0.366,-0.372,-0.26,45.994,1.44e-06,0.00884
157,DNAJC9,-0.329,-0.274,-0.156,-0.062,0.352,-0.068,0.045,0.221,-0.249,-0.347,-0.254,113.912,8.66e-20,5.61e-16
158,DNMT1,-0.307,-0.297,-0.131,-0.194,0.015,0.174,0.062,0.046,-0.097,-0.294,-0.186,89.423,6.97e-15,4.48e-11
159,DNPH1,-0.264,-0.251,-0.172,-0.175,0.125,0.096,-0.136,-0.305,-0.271,-0.302,-0.302,51.917,1.18e-07,0.000733
160,DNTT,-0.314,-0.315,-0.287,-0.315,-0.315,-0.259,0.54,0.127,1.847,0.009,2.6,1215.416,6.81e-255,4.62e-251
161,DTYMK,-0.273,-0.269,-0.174,-0.144,0.04,-0.014,-0.033,0.114,-0.263,-0.271,-0.22,52.152,1.07e-07,0.000663
162,DUSP1,0.548,-0.402,-0.233,-0.476,-0.589,-0.212,-0.446,-0.499,-0.687,-0.17,-0.418,554.583,9.37e-113,6.32e-109
163,DUSP6,-0.06,-0.329,-0.193,-0.341,-0.366,-0.066,-0.005,0.099,0.053,-0.236,-0.053,69.717,5.03e-11,3.19e-07
164,DUT,-0.353,-0.366,-0.102,-0.084,-0.077,0.081,0.149,0.133,-0.385,-0.423,-0.144,125.778,3.39e-22,2.21e-18
165,DYNLL1,-0.361,-0.219,-0.141,0.327,0.296,0.207,0.005,0.306,-0.212,-0.355,-0.305,153.772,6.23e-28,4.1e-24
166,EBPL,-0.085,-0.106,-0.079,-0.291,-0.17,-0.211,-0.264,-0.512,-0.399,-0.49,-0.393,92.491,1.71e-15,1.1e-11
167,EEF1A1,0.075,0.179,0.106,-0.681,-0.39,-0.44,-0.065,-0.506,0.195,-0.413,0.251,215.426,9.68e-41,6.43e-37
168,EEF1B2,-0.085,0.08,0.075,0.019,0.432,0.15,0.05,-0.285,-0.464,-1.079,-0.585,354.605,4.2e-70,2.81e-66
169,EID1,-0.056,-0.131,-0.179,-0.021,-0.207,-0.298,-0.332,-0.237,-0.373,-0.295,-0.362,42.792,5.42e-06,0.0331
170,EIF1,0.16,-0.04,-0.262,-0.166,-0.406,-0.37,-0.26,-0.161,0.185,0.208,-0.239,140.864,2.8e-25,1.83e-21
171,EIF1AX,-0.252,-0.24,-0.123,-0.148,0.173,0.008,-0.13,-0.151,-0.302,-0.381,-0.281,49.813,2.89e-07,0.00178
172,EIF2S2,-0.239,-0.251,-0.153,-0.125,0.01,0.09,-0.143,0.057,-0.293,-0.335,-0.238,48.178,5.76e-07,0.00355
173,EIF3A,-0.264,-0.255,-0.171,-0.105,0.078,0.121,-0.058,-0.038,-0.3,-0.306,-0.234,52.408,9.59e-08,0.000595
174,EIF3B,-0.281,-0.286,-0.182,0.072,0.097,0.207,-0.102,-0.157,-0.29,-0.349,-0.22,74.44,6.11e-12,3.89e-08
175,EIF3E,0.232,0.054,-0.087,-0.466,-0.451,-0.366,-0.322,-0.613,-0.361,-0.366,-0.41,257.738,1.28e-49,8.53e-46
176,EIF3M,-0.164,-0.12,-0.064,-0.269,-0.219,-0.07,-0.274,-0.277,-0.296,-0.376,-0.365,43.067,4.84e-06,0.0296
177,EIF4A1,-0.315,-0.231,-0.211,-0.176,-0.061,0.323,-0.23,-0.191,-0.335,-0.318,-0.221,78.662,9.18e-13,5.86e-09
178,EIF4A2,0.225,-0.11,-0.203,-0.293,-0.417,-0.393,-0.372,-0.517,-0.408,-0.289,-0.423,206.272,7.93e-39,5.26e-35
