,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,statisticsValue,P-value,Adj P-value
360,LMO2,-0.11,-0.053,-0.151,0.295,0.119,-0.324,-0.201,-0.459,-0.198,-0.426,-0.471,106.561,2.63e-18,1.7e-14
361,LRRC75A-AS1,0.063,0.028,0.258,-0.262,0.049,-0.059,-0.083,-0.688,-0.489,-0.828,-0.729,412.343,2.22e-82,1.49e-78
362,LSM4,-0.279,-0.339,-0.133,-0.235,-0.067,-0.042,-0.051,0.151,-0.37,-0.293,-0.175,60.921,2.43e-09,1.52e-05
363,LSM5,-0.291,-0.29,-0.168,-0.187,-0.055,0.006,-0.027,0.084,-0.207,-0.304,-0.217,50.138,2.52e-07,0.00156
364,LSM7,-0.335,-0.291,-0.148,0.071,0.046,0.061,-0.037,-0.128,-0.246,-0.29,-0.076,68.807,7.53e-11,4.78e-07
365,LSP1,-0.247,-0.242,-0.189,-0.226,-0.26,-0.021,-0.043,0.426,0.068,0.028,-0.144,90.946,3.48e-15,2.24e-11
366,LST1,-0.209,-0.288,-0.163,-0.394,-0.415,-0.357,-0.031,-0.186,0.218,0.5,0.185,141.69,1.9e-25,1.24e-21
367,LTB,-0.193,-0.216,-0.19,-0.225,-0.229,-0.228,-0.097,-0.101,0.131,0.551,0.592,245.869,4.01e-47,2.67e-43
368,LTBP1,-0.138,-0.052,-0.141,2.961,-0.068,-0.115,-0.141,-0.13,-0.141,-0.122,-0.128,223.972,1.57e-42,1.05e-38
369,LYL1,-0.133,-0.049,-0.187,-0.017,-0.049,-0.167,-0.275,-0.4,-0.329,-0.393,-0.387,56.514,1.64e-08,0.000103
370,LYZ,-0.074,-0.094,-0.104,-0.097,-0.107,0.527,-0.105,-0.053,-0.121,-0.133,-0.138,95.952,3.51e-16,2.26e-12
371,MAF,-0.066,-0.062,-0.09,-0.106,-0.076,-0.096,-0.106,-0.085,-0.106,0.148,-0.05,57.606,1.03e-08,6.41e-05
372,MAN1A1,-0.209,-0.274,-0.191,-0.279,-0.287,-0.146,-0.076,-0.093,0.105,-0.263,0.341,77.769,1.37e-12,8.75e-09
373,MANF,-0.222,-0.227,-0.171,-0.194,-0.195,0.254,-0.121,0.02,-0.172,-0.195,-0.19,53.86,5.15e-08,0.00032
374,MAPKAPK2,-0.256,-0.279,-0.219,-0.325,-0.218,0.139,-0.064,1.286,-0.016,-0.188,-0.04,223.654,1.84e-42,1.22e-38
375,MAPKAPK3,-0.288,-0.329,-0.148,-0.285,-0.303,0.014,0.002,-0.171,-0.054,-0.231,-0.031,49.682,3.05e-07,0.00189
376,MARCKSL1,-0.291,-0.059,-0.223,-0.106,0.265,-0.27,-0.252,-0.063,-0.203,-0.216,-0.137,55.251,2.83e-08,0.000176
377,MAX,-0.157,-0.075,-0.175,0.904,-0.31,-0.168,-0.253,-0.375,-0.305,-0.372,-0.245,77.51,1.54e-12,9.83e-09
378,MCL1,0.088,-0.262,-0.239,-0.213,-0.431,0.11,-0.248,-0.25,-0.32,-0.33,-0.427,140.938,2.71e-25,1.77e-21
379,MCM2,-0.315,-0.308,-0.114,-0.201,-0.021,0.131,0.118,0.068,-0.155,-0.306,-0.214,99.338,7.39e-17,4.77e-13
380,MCM3,-0.31,-0.305,-0.117,-0.232,-0.001,0.064,0.108,0.123,-0.142,-0.28,-0.22,85.848,3.55e-14,2.28e-10
381,MCM4,-0.259,-0.241,-0.138,-0.23,-0.157,0.153,0.024,0.013,-0.191,-0.201,-0.181,59.217,5.1e-09,3.19e-05
382,MCM6,-0.361,-0.363,-0.124,-0.203,0.096,0.245,0.133,0.271,-0.214,-0.349,-0.253,171.519,1.34e-31,8.86e-28
383,MCM7,-0.392,-0.362,-0.096,-0.117,-0.035,0.274,0.105,0.292,-0.13,-0.408,-0.151,193.307,4.01e-36,2.65e-32
384,MCMBP,-0.257,-0.261,-0.182,-0.257,-0.138,0.186,-0.089,0.075,-0.284,-0.237,-0.239,60.978,2.37e-09,1.48e-05
385,MDH1,-0.291,-0.295,-0.196,-0.126,-0.118,0.123,-0.127,-0.135,-0.207,-0.264,-0.138,44.587,2.58e-06,0.0158
386,MDK,-0.053,-0.238,-0.134,-0.337,-0.395,-0.378,-0.259,-0.366,-0.249,-0.397,-0.238,66.953,1.71e-10,1.08e-06
387,MED13L,-0.272,-0.246,-0.204,-0.209,-0.187,-0.117,0.002,-0.017,0.335,-0.079,0.568,143.393,8.49e-26,5.56e-22
388,MEF2C,-0.215,-0.31,-0.243,0.254,-0.12,-0.25,-0.01,0.028,0.045,0.017,-0.028,62.424,1.26e-09,7.9e-06
389,MEF2D,-0.234,-0.238,-0.23,-0.216,-0.264,0.232,-0.12,0.14,-0.234,-0.211,-0.159,67.265,1.49e-10,9.43e-07
390,MGST1,-0.235,-0.353,-0.033,-0.362,-0.273,0.915,-0.119,-0.337,-0.415,-0.427,-0.4,252.498,1.62e-48,1.08e-44
391,MIF,-0.34,-0.353,-0.056,-0.14,0.7,0.509,0.069,-0.215,-0.298,-0.481,-0.175,247.751,1.61e-47,1.07e-43
392,MLEC,-0.263,-0.233,-0.188,-0.092,-0.066,0.213,-0.079,-0.026,-0.159,-0.255,-0.141,58.302,7.58e-09,4.74e-05
393,MLLT3,0.092,-0.107,-0.222,-0.249,-0.185,-0.321,-0.333,-0.361,-0.301,-0.303,-0.371,124.239,6.96e-22,4.54e-18
394,MME,-0.211,-0.226,-0.209,-0.212,-0.211,-0.207,-0.172,-0.177,0.076,0.434,0.506,175.721,1.81e-32,1.19e-28
395,MMRN1,-0.011,-0.202,-0.203,0.689,-0.352,-0.374,-0.336,-0.392,-0.272,-0.308,-0.356,113.591,1e-19,6.52e-16
396,MOB1A,-0.279,-0.278,-0.204,-0.24,-0.144,-0.003,-0.102,0.112,-0.21,-0.263,-0.11,43.867,3.48e-06,0.0213
397,MPC2,-0.281,-0.256,-0.194,-0.162,0.333,-0.062,-0.073,0.013,-0.02,-0.352,-0.186,61.106,2.24e-09,1.4e-05
398,MPEG1,-0.131,-0.131,-0.116,-0.131,-0.131,-0.073,-0.088,0.782,-0.076,-0.123,-0.124,121.06,3.08e-21,2e-17
399,MPO,-0.222,-0.221,-0.173,-0.223,-0.223,3.529,-0.068,-0.111,-0.188,-0.22,-0.206,828.289,1.71e-171,1.15e-167
400,MPP1,-0.282,0.153,-0.208,0.576,0.158,-0.214,-0.277,-0.289,-0.328,-0.359,-0.339,139.525,5.27e-25,3.45e-21
401,MPST,-0.216,-0.214,-0.157,-0.132,0.457,0.037,-0.049,-0.147,-0.031,-0.154,-0.147,60.811,2.55e-09,1.6e-05
402,MRPL3,-0.285,-0.283,-0.175,-0.231,0.022,0.221,-0.115,-0.103,-0.112,-0.332,-0.227,68.787,7.6e-11,4.82e-07
403,MRPL33,-0.254,-0.262,-0.202,-0.237,-0.163,0.272,-0.095,-0.11,-0.235,-0.241,-0.255,58.862,5.95e-09,3.72e-05
404,MRPL57,-0.225,-0.313,-0.147,-0.133,0.026,0.07,0.114,-0.164,-0.104,-0.355,-0.096,55.218,2.88e-08,0.000179
405,MS4A3,-0.092,-0.073,-0.087,-0.075,-0.052,0.441,-0.099,-0.029,-0.113,-0.113,-0.113,62.35,1.3e-09,8.16e-06
406,MSH6,-0.27,-0.276,-0.132,-0.268,-0.014,0.116,-0.043,-0.113,-0.281,-0.301,-0.258,54.137,4.58e-08,0.000285
407,MSI2,-0.143,-0.159,-0.118,-0.387,-0.376,-0.247,-0.218,-0.421,-0.059,-0.377,0.06,56.457,1.69e-08,0.000105
408,MSRB3,-0.02,-0.298,-0.114,-0.368,-0.394,-0.101,-0.208,-0.392,-0.391,-0.382,-0.397,89.721,6.08e-15,3.91e-11
409,MT-ATP6,-0.06,-0.315,0.114,-0.063,-0.088,-0.358,0.063,-0.375,-0.154,-0.008,-0.141,92.885,1.43e-15,9.21e-12
410,MT-ATP8,-0.291,-0.102,-0.012,0.24,0.599,0.38,0.108,0.033,0.046,-0.541,-0.379,204.635,1.74e-38,1.15e-34
411,MT-CO1,-0.528,-0.298,0.181,0.36,0.281,-0.082,0.329,-0.005,0.644,0.285,0.35,412.06,2.55e-82,1.71e-78
412,MT-CO2,-0.449,-0.138,-0.042,1.114,0.856,0.282,0.271,0.114,0.125,-0.25,0.143,366.437,1.29e-72,8.64e-69
413,MT-CO3,-0.219,-0.425,0.145,0.085,1.022,-0.181,0.212,-0.083,-0.157,-0.081,0.001,243.09,1.54e-46,1.02e-42
414,MT-CYB,0.452,-0.255,0.084,-0.56,-0.493,-0.785,-0.349,-0.761,-0.355,-0.213,-0.345,555.961,4.75e-113,3.2e-109
415,MT-ND1,0.737,-0.217,-0.111,-0.487,-0.103,-0.783,-0.637,-1.039,-0.829,-0.083,-0.659,1063.692,3.53e-222,2.4e-218
416,MT-ND2,0.69,-0.08,-0.255,-0.558,-0.419,-0.81,-0.772,-1.005,-0.875,0.219,-0.494,1071.602,6.98e-224,4.73e-220
417,MT-ND3,0.403,0.149,0.137,-0.474,-0.565,-0.999,-0.613,-1.242,-0.543,-0.171,-0.463,819.876,1.1e-169,7.44e-166
418,MT-ND4,0.397,-0.148,0.141,-0.358,-0.539,-0.724,-0.371,-1.015,-0.324,-0.416,-0.367,582.329,1.07e-118,7.25e-115
419,MT-ND4L,-0.001,-0.128,-0.135,-0.363,-0.407,-0.302,-0.262,-0.439,-0.267,-0.265,-0.238,61.479,1.9e-09,1.19e-05
420,MT-ND5,-0.114,-0.44,0.12,-0.511,-0.32,-0.114,0.238,-0.326,0.044,0.021,0.01,149.057,5.83e-27,3.82e-23
421,MTDH,-0.311,-0.204,-0.204,0.121,-0.005,0.354,-0.046,0.176,-0.03,-0.363,-0.218,123.806,8.53e-22,5.56e-18
422,MTHFD1,-0.296,-0.292,-0.125,-0.244,-0.008,0.154,-0.069,-0.081,-0.235,-0.307,-0.221,68.698,7.91e-11,5.01e-07
423,MTRNR2L1,-0.302,-0.114,-0.14,0.444,0.245,-0.072,0.053,0.054,0.268,0.16,-0.039,93.236,1.22e-15,7.84e-12
424,MTRNR2L10,-0.219,-0.266,-0.27,-0.149,-0.186,-0.176,-0.149,-0.146,0.028,0.152,0.026,48.897,4.25e-07,0.00262
425,MTRNR2L11,-0.293,-0.262,-0.276,0.023,-0.202,-0.13,-0.144,-0.167,-0.273,0.36,0.292,126.158,2.83e-22,1.85e-18
426,MTRNR2L12,-0.141,-0.079,-0.08,0.077,-0.223,-0.493,-0.05,0.15,0.297,0.288,-0.078,83.637,9.69e-14,6.2e-10
427,MTRNR2L8,-0.017,-0.096,-0.128,-0.096,-0.299,-0.504,-0.295,-0.316,0.004,0.588,0.009,137.2,1.58e-24,1.03e-20
428,MTURN,-0.181,0.045,-0.191,0.025,-0.21,-0.349,-0.263,-0.388,-0.321,-0.312,-0.378,67.652,1.26e-10,7.96e-07
429,MYB,-0.193,-0.011,-0.119,-0.287,0.12,0.056,-0.344,-0.37,-0.341,-0.539,-0.251,106.142,3.19e-18,2.07e-14
430,MYC,-0.171,-0.162,-0.154,-0.147,0.304,0.193,-0.168,-0.186,-0.219,-0.176,-0.168,50.136,2.52e-07,0.00156
431,MYCT1,0.066,-0.031,-0.232,-0.059,-0.283,-0.366,-0.412,-0.41,-0.412,-0.404,-0.412,151.71,1.66e-27,1.09e-23
432,MYDGF,-0.27,-0.267,-0.229,-0.143,-0.125,0.306,-0.15,-0.012,-0.143,-0.228,-0.179,74.218,6.75e-12,4.3e-08
433,MYL6,-0.277,-0.262,-0.204,-0.083,-0.029,-0.101,0.013,0.325,-0.353,-0.198,-0.168,66.17,2.42e-10,1.53e-06
434,MZB1,-0.243,-0.238,-0.14,-0.283,-0.27,-0.126,0.259,0.074,0.146,-0.058,0.151,87.894,1.4e-14,8.98e-11
435,NAA38,-0.297,-0.189,-0.169,0.133,0.235,0.103,-0.141,-0.255,-0.326,-0.383,-0.334,81.809,2.22e-13,1.42e-09
436,NAA50,-0.272,-0.249,-0.169,-0.172,-0.1,0.117,-0.057,-0.13,-0.355,-0.309,-0.286,43.541,3.98e-06,0.0244
437,NACA,0.326,0.078,-0.124,-0.56,-0.238,-0.337,-0.346,-0.588,-0.452,-0.329,-0.145,267.388,1.19e-51,7.93e-48
438,NAP1L1,-0.161,-0.572,0.132,-0.595,-0.756,0.347,0.544,0.342,0.201,-0.182,0.195,383.191,3.54e-76,2.38e-72
